scene,t,order,tau,selected_order
static,11,"[1, 0, 2]",9.4925,"(0, 1, 2)"
static,11,"[2, 0, 1]",20.0675,"(0, 1, 2)"
static,11,"[2, 1, 0]",22.7475,"(0, 1, 2)"
static,12,"[0, 1, 2]",0.0,"(0, 1, 2)"
static,12,"[1, 0, 2]",9.4925,"(0, 1, 2)"
static,12,"[2, 0, 1]",20.0675,"(0, 1, 2)"
static,12,"[2, 1, 0]",22.7475,"(0, 1, 2)"
translation,0,"[0, 1, 2]",0.0,"(0, 1, 2)"
translation,0,"[1, 0, 2]",9.4925,"(0, 1, 2)"
translation,0,"[2, 0, 1]",20.0675,"(0, 1, 2)"
translation,0,"[2, 1, 0]",22.7475,"(0, 1, 2)"
translation,1,"[0, 1, 2]",0.0,"(0, 1, 2)"
translation,1,"[1, 0, 2]",9.492500000000003,"(0, 1, 2)"
translation,1,"[2, 0, 1]",20.067499999999992,"(0, 1, 2)"
translation,1,"[2, 1, 0]",22.74749999999999,"(0, 1, 2)"
translation,2,"[0, 1, 2]",0.0,"(0, 1, 2)"
translation,2,"[1, 0, 2]",9.492500000000003,"(0, 1, 2)"
translation,2,"[2, 0, 1]",20.067499999999992,"(0, 1, 2)"
translation,2,"[2, 1, 0]",22.74749999999999,"(0, 1, 2)"
translation,3,"[0, 1, 2]",0.0,"(0, 1, 2)"
translation,3,"[1, 0, 2]",9.492500000000003,"(0, 1, 2)"
translation,3,"[2, 0, 1]",20.067499999999992,"(0, 1, 2)"
translation,3,"[2, 1, 0]",22.74749999999999,"(0, 1, 2)"
translation,4,"[0, 1, 2]",0.0,"(0, 1, 2)"
translation,4,"[1, 0, 2]",9.492500000000003,"(0, 1, 2)"
translation,4,"[2, 0, 1]",20.0675,"(0, 1, 2)"
translation,4,"[2, 1, 0]",22.7475,"(0, 1, 2)"
translation,5,"[0, 1, 2]",0.0,"(0, 1, 2)"
translation,5,"[1, 0, 2]",9.4925,"(0, 1, 2)"
translation,5,"[2, 0, 1]",20.067500000000003,"(0, 1, 2)"
translation,5,"[2, 1, 0]",22.747500000000002,"(0, 1, 2)"
translation,6,"[0, 1, 2]",0.0,"(0, 1, 2)"
translation,6,"[1, 0, 2]",9.4925,"(0, 1, 2)"
translation,6,"[2, 0, 1]",20.067500000000003,"(0, 1, 2)"
translation,6,"[2, 1, 0]",22.747500000000002,"(0, 1, 2)"
translation,7,"[0, 1, 2]",0.0,"(0, 1, 2)"
translation,7,"[1, 0, 2]",9.4925,"(0, 1, 2)"
translation,7,"[2, 0, 1]",20.067500000000003,"(0, 1, 2)"
translation,7,"[2, 1, 0]",22.747500000000002,"(0, 1, 2)"
translation,8,"[0, 1, 2]",0.0,"(0, 1, 2)"
translation,8,"[1, 0, 2]",9.4925,"(0, 1, 2)"
translation,8,"[2, 0, 1]",20.067500000000003,"(0, 1, 2)"
translation,8,"[2, 1, 0]",22.747500000000002,"(0, 1, 2)"
translation,9,"[0, 1, 2]",0.0,"(0, 1, 2)"
translation,9,"[1, 0, 2]",9.4925,"(0, 1, 2)"
translation,9,"[2, 0, 1]",20.067500000000003,"(0, 1, 2)"
translation,9,"[2, 1, 0]",22.747500000000002,"(0, 1, 2)"
translation,10,"[0, 1, 2]",0.0,"(0, 1, 2)"
translation,10,"[1, 0, 2]",9.4925,"(0, 1, 2)"
translation,10,"[2, 0, 1]",20.067500000000003,"(0, 1, 2)"
translation,10,"[2, 1, 0]",22.747500000000002,"(0, 1, 2)"
translation,11,"[0, 1, 2]",0.0,"(0, 1, 2)"
translation,11,"[1, 0, 2]",9.4925,"(0, 1, 2)"
translation,11,"[2, 0, 1]",20.067500000000003,"(0, 1, 2)"
translation,11,"[2, 1, 0]",22.747500000000002,"(0, 1, 2)"
translation,12,"[0, 1, 2]",0.0,"(0, 1, 2)"
translation,12,"[1, 0, 2]",9.4925,"(0, 1, 2)"
translation,12,"[2, 0, 1]",20.067500000000003,"(0, 1, 2)"
translation,12,"[2, 1, 0]",22.747500000000002,"(0, 1, 2)"
growth,0,"[0, 1]",0.0,"(0, 1)"
growth,0,"[1, 0]",21.22250000000001,"(0, 1)"
growth,1,"[0, 1]",0.0,"(0, 1)"
growth,1,"[1, 0]",21.682499999999997,"(0, 1)"
growth,2,"[0, 1]",0.0,"(0, 1)"
growth,2,"[1, 0]",22.200000000000003,"(0, 1)"
growth,3,"[0, 1]",0.0,"(0, 1)"
growth,3,"[1, 0]",22.66000000000001,"(0, 1)"
growth,4,"[0, 1]",0.0,"(0, 1)"
growth,4,"[1, 0]",23.11999999999999,"(0, 1)"
growth,5,"[0, 1]",0.0,"(0, 1)"
growth,5,"[1, 0]",23.637500000000003,"(0, 1)"
growth,6,"[0, 1]",0.0,"(0, 1)"
growth,6,"[1, 0]",24.09750000000001,"(0, 1)"
growth,7,"[0, 1]",0.0,"(0, 1)"
growth,7,"[1, 0]",24.614999999999995,"(0, 1)"
growth,8,"[0, 1]",0.0,"(0, 1)"
growth,8,"[1, 0]",25.075000000000003,"(0, 1)"
growth,9,"[0, 1]",0.0,"(0, 1)"
growth,9,"[1, 0]",25.5925,"(0, 1)"
growth,10,"[0, 1]",0.0,"(0, 1)"
growth,10,"[1, 0]",26.052500000000002,"(0, 1)"
collective_growth,0,"[0, 1, 2]",0.0,"(0, 1, 2)"
collective_growth,0,"[1, 0, 2]",9.4925,"(0, 1, 2)"
collective_growth,0,"[2, 0, 1]",20.0675,"(0, 1, 2)"
collective_growth,0,"[2, 1, 0]",22.7475,"(0, 1, 2)"
collective_growth,1,"[0, 1, 2]",0.0,"(0, 1, 2)"
collective_growth,1,"[1, 0, 2]",9.780000000000001,"(0, 1, 2)"
collective_growth,1,"[2, 0, 1]",20.655000000000005,"(0, 1, 2)"
collective_growth,1,"[2, 1, 0]",23.395000000000007,"(0, 1, 2)"
collective_growth,2,"[0, 1, 2]",0.0,"(0, 1, 2)"
collective_growth,2,"[1, 0, 2]",10.067500000000003,"(0, 1, 2)"
collective_growth,2,"[2, 0, 1]",21.300000000000004,"(0, 1, 2)"
collective_growth,2,"[2, 1, 0]",24.130000000000003,"(0, 1, 2)"
collective_growth,3,"[0, 1, 2]",0.0,"(0, 1, 2)"
collective_growth,3,"[1, 0, 2]",10.2975,"(0, 1, 2)"
collective_growth,3,"[2, 0, 1]",21.83,"(0, 1, 2)"
collective_growth,3,"[2, 1, 0]",24.71999999999999,"(0, 1, 2)"
collective_growth,4,"[0, 1, 2]",0.0,"(0, 1, 2)"
collective_growth,4,"[1, 0, 2]",10.642500000000002,"(0, 1, 2)"
collective_growth,4,"[2, 0, 1]",22.474999999999998,"(0, 1, 2)"
collective_growth,4,"[2, 1, 0]",25.455000000000002,"(0, 1, 2)"
collective_growth,5,"[0, 1, 2]",0.0,"(0, 1, 2)"
collective_growth,5,"[1, 0, 2]",10.872500000000002,"(0, 1, 2)"
collective_growth,5,"[2, 0, 1]",23.004999999999995,"(0, 1, 2)"
collective_growth,5,"[2, 1, 0]",26.044999999999995,"(0, 1, 2)"
collective_growth,6,"[0, 1, 2]",0.0,"(0, 1, 2)"
collective_growth,6,"[1, 0, 2]",11.16,"(0, 1, 2)"
collective_growth,6,"[2, 0, 1]",23.65,"(0, 1, 2)"
collective_growth,6,"[2, 1, 0]",26.779999999999994,"(0, 1, 2)"
collective_growth,7,"[0, 1, 2]",0.0,"(0, 1, 2)"
collective_growth,7,"[1, 0, 2]",11.447500000000002,"(0, 1, 2)"
collective_growth,7,"[2, 0, 1]",24.18,"(0, 1, 2)"
collective_growth,7,"[2, 1, 0]",27.369999999999997,"(0, 1, 2)"
collective_growth,8,"[0, 1, 2]",0.0,"(0, 1, 2)"
collective_growth,8,"[1, 0, 2]",11.735000000000003,"(0, 1, 2)"
collective_growth,8,"[2, 0, 1]",24.825,"(0, 1, 2)"
collective_growth,8,"[2, 1, 0]",28.105,"(0, 1, 2)"
collective_growth,9,"[0, 1, 2]",0.0,"(0, 1, 2)"
collective_growth,9,"[1, 0, 2]",12.022500000000004,"(0, 1, 2)"
collective_growth,9,"[2, 0, 1]",25.412499999999998,"(0, 1, 2)"
collective_growth,9,"[2, 1, 0]",28.7525,"(0, 1, 2)"
collective_growth,10,"[0, 1, 2]",0.0,"(0, 1, 2)"
collective_growth,10,"[1, 0, 2]",12.309999999999995,"(0, 1, 2)"
collective_growth,10,"[2, 0, 1]",26.0575,"(0, 1, 2)"
collective_growth,10,"[2, 1, 0]",29.4875,"(0, 1, 2)"
translation_growth,0,"[0, 1, 2]",0.0,"(0, 1, 2)"
translation_growth,0,"[1, 0, 2]",9.4925,"(0, 1, 2)"
translation_growth,0,"[2, 0, 1]",20.0675,"(0, 1, 2)"
translation_growth,0,"[2, 1, 0]",22.7475,"(0, 1, 2)"
translation_growth,1,"[0, 1, 2]",0.0,"(0, 1, 2)"
translation_growth,1,"[1, 0, 2]",9.780000000000001,"(0, 1, 2)"
translation_growth,1,"[2, 0, 1]",20.65500000000001,"(0, 1, 2)"
translation_growth,1,"[2, 1, 0]",23.39500000000001,"(0, 1, 2)"
translation_growth,2,"[0, 1, 2]",0.0,"(0, 1, 2)"
translation_growth,2,"[1, 0, 2]",10.067500000000003,"(0, 1, 2)"
translation_growth,2,"[2, 0, 1]",21.300000000000004,"(0, 1, 2)"
translation_growth,2,"[2, 1, 0]",24.130000000000003,"(0, 1, 2)"
translation_growth,3,"[0, 1, 2]",0.0,"(0, 1, 2)"
translation_growth,3,"[1, 0, 2]",10.2975,"(0, 1, 2)"
translation_growth,3,"[2, 0, 1]",21.83,"(0, 1, 2)"
translation_growth,3,"[2, 1, 0]",24.71999999999999,"(0, 1, 2)"
translation_growth,4,"[0, 1, 2]",0.0,"(0, 1, 2)"
translation_growth,4,"[1, 0, 2]",10.585,"(0, 1, 2)"
translation_growth,4,"[2, 0, 1]",22.417499999999997,"(0, 1, 2)"
translation_growth,4,"[2, 1, 0]",25.3975,"(0, 1, 2)"
translation_growth,5,"[0, 1, 2]",0.0,"(0, 1, 2)"
translation_growth,5,"[1, 0, 2]",10.872500000000002,"(0, 1, 2)"
translation_growth,5,"[2, 0, 1]",23.004999999999995,"(0, 1, 2)"
translation_growth,5,"[2, 1, 0]",26.044999999999995,"(0, 1, 2)"
translation_growth,6,"[0, 1, 2]",0.0,"(0, 1, 2)"
translation_growth,6,"[1, 0, 2]",11.159999999999993,"(0, 1, 2)"
translation_growth,6,"[2, 0, 1]",23.649999999999995,"(0, 1, 2)"
translation_growth,6,"[2, 1, 0]",26.77999999999999,"(0, 1, 2)"
translation_growth,7,"[0, 1, 2]",0.0,"(0, 1, 2)"
translation_growth,7,"[1, 0, 2]",11.447499999999998,"(0, 1, 2)"
translation_growth,7,"[2, 0, 1]",24.18,"(0, 1, 2)"
translation_growth,7,"[2, 1, 0]",27.369999999999997,"(0, 1, 2)"
translation_growth,8,"[0, 1, 2]",0.0,"(0, 1, 2)"
translation_growth,8,"[1, 0, 2]",11.735000000000003,"(0, 1, 2)"
translation_growth,8,"[2, 0, 1]",24.825,"(0, 1, 2)"
translation_growth,8,"[2, 1, 0]",28.105,"(0, 1, 2)"
translation_growth,9,"[0, 1, 2]",0.0,"(0, 1, 2)"
translation_growth,9,"[1, 0, 2]",12.022500000000004,"(0, 1, 2)"
translation_growth,9,"[2, 0, 1]",25.412499999999998,"(0, 1, 2)"
translation_growth,9,"[2, 1, 0]",28.7525,"(0, 1, 2)"
translation_growth,10,"[0, 1, 2]",0.0,"(0, 1, 2)"
translation_growth,10,"[1, 0, 2]",12.309999999999999,"(0, 1, 2)"
translation_growth,10,"[2, 0, 1]",26.0575,"(0, 1, 2)"
translation_growth,10,"[2, 1, 0]",29.4875,"(0, 1, 2)"
hierarchy_conflict,0,"[0, 1, 2, 3]",5.297378358750912,"(0, 1, 2, 3)"
hierarchy_conflict,0,"[0, 1, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
hierarchy_conflict,0,"[1, 0, 2, 3]",16.510123456790122,"(0, 1, 2, 3)"
hierarchy_conflict,0,"[1, 0, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
hierarchy_conflict,0,"[2, 3, 0, 1]",29.20668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,0,"[2, 3, 1, 0]",31.88668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,0,"[3, 2, 0, 1]",32.00668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,0,"[3, 2, 1, 0]",34.6866894977169,"(0, 1, 2, 3)"
hierarchy_conflict,1,"[0, 1, 2, 3]",5.297378358750912,"(0, 1, 2, 3)"
hierarchy_conflict,1,"[0, 1, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
hierarchy_conflict,1,"[1, 0, 2, 3]",16.510123456790122,"(0, 1, 2, 3)"
hierarchy_conflict,1,"[1, 0, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
hierarchy_conflict,1,"[2, 3, 0, 1]",29.20668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,1,"[2, 3, 1, 0]",31.88668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,1,"[3, 2, 0, 1]",32.00668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,1,"[3, 2, 1, 0]",34.6866894977169,"(0, 1, 2, 3)"
hierarchy_conflict,2,"[0, 1, 2, 3]",5.297378358750912,"(0, 1, 2, 3)"
hierarchy_conflict,2,"[0, 1, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
hierarchy_conflict,2,"[1, 0, 2, 3]",16.510123456790122,"(0, 1, 2, 3)"
hierarchy_conflict,2,"[1, 0, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
hierarchy_conflict,2,"[2, 3, 0, 1]",29.20668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,2,"[2, 3, 1, 0]",31.88668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,2,"[3, 2, 0, 1]",32.00668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,2,"[3, 2, 1, 0]",34.6866894977169,"(0, 1, 2, 3)"
hierarchy_conflict,3,"[0, 1, 2, 3]",5.297378358750912,"(0, 1, 2, 3)"
hierarchy_conflict,3,"[0, 1, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
hierarchy_conflict,3,"[1, 0, 2, 3]",16.510123456790122,"(0, 1, 2, 3)"
hierarchy_conflict,3,"[1, 0, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
hierarchy_conflict,3,"[2, 3, 0, 1]",29.20668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,3,"[2, 3, 1, 0]",31.88668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,3,"[3, 2, 0, 1]",32.00668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,3,"[3, 2, 1, 0]",34.6866894977169,"(0, 1, 2, 3)"
hierarchy_conflict,4,"[0, 1, 2, 3]",5.297378358750912,"(0, 1, 2, 3)"
hierarchy_conflict,4,"[0, 1, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
hierarchy_conflict,4,"[1, 0, 2, 3]",16.510123456790122,"(0, 1, 2, 3)"
hierarchy_conflict,4,"[1, 0, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
hierarchy_conflict,4,"[2, 3, 0, 1]",29.20668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,4,"[2, 3, 1, 0]",31.88668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,4,"[3, 2, 0, 1]",32.00668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,4,"[3, 2, 1, 0]",34.6866894977169,"(0, 1, 2, 3)"
hierarchy_conflict,5,"[0, 1, 2, 3]",5.297378358750912,"(0, 1, 2, 3)"
hierarchy_conflict,5,"[0, 1, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
hierarchy_conflict,5,"[1, 0, 2, 3]",16.510123456790122,"(0, 1, 2, 3)"
hierarchy_conflict,5,"[1, 0, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
hierarchy_conflict,5,"[2, 3, 0, 1]",29.20668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,5,"[2, 3, 1, 0]",31.88668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,5,"[3, 2, 0, 1]",32.00668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,5,"[3, 2, 1, 0]",34.6866894977169,"(0, 1, 2, 3)"
hierarchy_conflict,6,"[0, 1, 2, 3]",5.297378358750912,"(0, 1, 2, 3)"
hierarchy_conflict,6,"[0, 1, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
hierarchy_conflict,6,"[1, 0, 2, 3]",16.510123456790122,"(0, 1, 2, 3)"
hierarchy_conflict,6,"[1, 0, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
hierarchy_conflict,6,"[2, 3, 0, 1]",29.20668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,6,"[2, 3, 1, 0]",31.88668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,6,"[3, 2, 0, 1]",32.00668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,6,"[3, 2, 1, 0]",34.6866894977169,"(0, 1, 2, 3)"
hierarchy_conflict,7,"[0, 1, 2, 3]",5.297378358750912,"(0, 1, 2, 3)"
hierarchy_conflict,7,"[0, 1, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
hierarchy_conflict,7,"[1, 0, 2, 3]",16.510123456790122,"(0, 1, 2, 3)"
hierarchy_conflict,7,"[1, 0, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
hierarchy_conflict,7,"[2, 3, 0, 1]",29.20668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,7,"[2, 3, 1, 0]",31.88668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,7,"[3, 2, 0, 1]",32.00668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,7,"[3, 2, 1, 0]",34.6866894977169,"(0, 1, 2, 3)"
hierarchy_conflict,8,"[0, 1, 2, 3]",5.297378358750912,"(0, 1, 2, 3)"
hierarchy_conflict,8,"[0, 1, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
hierarchy_conflict,8,"[1, 0, 2, 3]",16.510123456790122,"(0, 1, 2, 3)"
hierarchy_conflict,8,"[1, 0, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
hierarchy_conflict,8,"[2, 3, 0, 1]",29.20668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,8,"[2, 3, 1, 0]",31.88668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,8,"[3, 2, 0, 1]",32.00668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,8,"[3, 2, 1, 0]",34.6866894977169,"(0, 1, 2, 3)"
hierarchy_conflict,9,"[0, 1, 2, 3]",5.297378358750912,"(0, 1, 2, 3)"
hierarchy_conflict,9,"[0, 1, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
hierarchy_conflict,9,"[1, 0, 2, 3]",16.510123456790122,"(0, 1, 2, 3)"
hierarchy_conflict,9,"[1, 0, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
hierarchy_conflict,9,"[2, 3, 0, 1]",29.20668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,9,"[2, 3, 1, 0]",31.88668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,9,"[3, 2, 0, 1]",32.00668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,9,"[3, 2, 1, 0]",34.6866894977169,"(0, 1, 2, 3)"
hierarchy_conflict,10,"[0, 1, 2, 3]",5.297378358750912,"(0, 1, 2, 3)"
hierarchy_conflict,10,"[0, 1, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
hierarchy_conflict,10,"[1, 0, 2, 3]",16.510123456790122,"(0, 1, 2, 3)"
hierarchy_conflict,10,"[1, 0, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
hierarchy_conflict,10,"[2, 3, 0, 1]",29.20668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,10,"[2, 3, 1, 0]",31.88668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,10,"[3, 2, 0, 1]",32.00668949771689,"(0, 1, 2, 3)"
hierarchy_conflict,10,"[3, 2, 1, 0]",34.6866894977169,"(0, 1, 2, 3)"
topology_change,0,"[0, 1, 2, 3]",5.297378358750912,"(0, 1, 2, 3)"
topology_change,0,"[0, 1, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
topology_change,0,"[1, 0, 2, 3]",16.510123456790122,"(0, 1, 2, 3)"
topology_change,0,"[1, 0, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
topology_change,0,"[2, 3, 0, 1]",29.20668949771689,"(0, 1, 2, 3)"
topology_change,0,"[2, 3, 1, 0]",31.88668949771689,"(0, 1, 2, 3)"
topology_change,0,"[3, 2, 0, 1]",32.00668949771689,"(0, 1, 2, 3)"
topology_change,0,"[3, 2, 1, 0]",34.6866894977169,"(0, 1, 2, 3)"
topology_change,1,"[0, 1, 2, 3]",5.321421568627443,"(0, 1, 2, 3)"
topology_change,1,"[0, 1, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
topology_change,1,"[1, 0, 2, 3]",16.618530701754384,"(0, 1, 2, 3)"
topology_change,1,"[1, 0, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
topology_change,1,"[2, 3, 0, 1]",29.291053532804614,"(0, 1, 2, 3)"
topology_change,1,"[2, 3, 1, 0]",32.06105353280461,"(0, 1, 2, 3)"
topology_change,1,"[3, 2, 0, 1]",32.09105353280461,"(0, 1, 2, 3)"
topology_change,1,"[3, 2, 1, 0]",34.86105353280462,"(0, 1, 2, 3)"
topology_change,2,"[0, 1, 2, 3]",5.332427315753883,"(0, 1, 2, 3)"
topology_change,2,"[0, 1, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
topology_change,2,"[1, 0, 2, 3]",16.796198054818746,"(0, 1, 2, 3)"
topology_change,2,"[1, 0, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
topology_change,2,"[2, 3, 0, 1]",29.457715138742536,"(0, 1, 2, 3)"
topology_change,2,"[2, 3, 1, 0]",32.317715138742535,"(0, 1, 2, 3)"
topology_change,2,"[3, 2, 0, 1]",32.25771513874253,"(0, 1, 2, 3)"
topology_change,2,"[3, 2, 1, 0]",35.11771513874253,"(0, 1, 2, 3)"
topology_change,3,"[0, 1, 2, 3]",5.333172504957041,"(0, 1, 2, 3)"
topology_change,3,"[0, 1, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
topology_change,3,"[1, 0, 2, 3]",16.96102176966292,"(0, 1, 2, 3)"
topology_change,3,"[1, 0, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
topology_change,3,"[2, 3, 0, 1]",29.62179366438356,"(0, 1, 2, 3)"
topology_change,3,"[2, 3, 1, 0]",32.54179366438356,"(0, 1, 2, 3)"
topology_change,3,"[3, 2, 0, 1]",32.42179366438356,"(0, 1, 2, 3)"
topology_change,3,"[3, 2, 1, 0]",35.34179366438356,"(0, 1, 2, 3)"
topology_change,4,"[0, 1, 2, 3]",5.325262148337586,"(0, 1, 2, 3)"
topology_change,4,"[0, 1, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
topology_change,4,"[1, 0, 2, 3]",17.11479586426298,"(0, 1, 2, 3)"
topology_change,4,"[1, 0, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
topology_change,4,"[2, 3, 0, 1]",29.783478115603074,"(0, 1, 2, 3)"
topology_change,4,"[2, 3, 1, 0]",32.79347811560307,"(0, 1, 2, 3)"
topology_change,4,"[3, 2, 0, 1]",32.58347811560307,"(0, 1, 2, 3)"
topology_change,4,"[3, 2, 1, 0]",35.59347811560308,"(0, 1, 2, 3)"
topology_change,5,"[0, 1, 2, 3]",5.307430340557275,"(0, 1, 2, 3)"
topology_change,5,"[0, 1, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
topology_change,5,"[1, 0, 2, 3]",17.25642543859649,"(0, 1, 2, 3)"
topology_change,5,"[1, 0, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
topology_change,5,"[2, 3, 0, 1]",29.942939497716896,"(0, 1, 2, 3)"
topology_change,5,"[2, 3, 1, 0]",33.0429394977169,"(0, 1, 2, 3)"
topology_change,5,"[3, 2, 0, 1]",32.74293949771689,"(0, 1, 2, 3)"
topology_change,5,"[3, 2, 1, 0]",35.8429394977169,"(0, 1, 2, 3)"
topology_change,6,"[0, 1, 2, 3]",5.280588235294111,"(0, 1, 2, 3)"
topology_change,6,"[0, 1, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
topology_change,6,"[1, 0, 2, 3]",17.386976744186047,"(0, 1, 2, 3)"
topology_change,6,"[1, 0, 3, 2]",17.993944399677673,"(0, 1, 2, 3)"
topology_change,6,"[2, 3, 0, 1]",30.10033290856961,"(0, 1, 2, 3)"
